tradingsymbol,exchange,isin,quantity,t1_quantity,realised_quantity,average_price,last_price,pnl,product,collateral_quantity,collateral_type
ADANIGREEN,BSE,,25,0,25,1035.08,1194.55,3986.75,CNC,0,
ADANIPORTS,NSE,,10,0,10,552.9,835.55,2826.5,CNC,0,
AMBUJACEM,NSE,,7,0,7,308.8,305.5,-23.1,CNC,0,
APLLTD,NSE,,1,0,1,1069.6,972.7,-96.9,CNC,0,
CASTROLIND,BSE,,6,0,6,123.75,123.65,-0.6,CNC,0,
CESC,BSE,,10,0,10,617.35,601.1,-162.5,CNC,0,
CHAMBLFERT,BSE,,12,0,12,232.34,221.75,-127.1,CNC,0,
GHCL,NSE,,2,0,2,201.15,232,61.7,CNC,0,
GPPL,BSE,,50,0,50,88.74,103.75,750.5,CNC,0,
GREENPLY,BSE,,7,0,7,114.1,177.95,446.95,CNC,0,
GSFC,NSE,,40,0,40,129.57,88.7,-1635,CNC,0,
GSPL,NSE,,4,0,4,212.25,265.7,213.8,CNC,0,
INFY,BSE,,5,0,5,1292.05,1411.15,595.5,CNC,0,
IRFC,BSE,,1100,0,1100,25.33,22,-3662.5,CNC,0,
KALYANKJIL,NSE,,172,0,172,87,70.35,-2863.8,CNC,0,
KEC,NSE,,7,0,7,389.3,438.45,344.05,CNC,0,
KNRCON,NSE,,10,0,10,185.37,211.35,259.8,CNC,0,
MGL,BSE,,1,0,1,1047.8,1093.8,46,CNC,0,
NCC,BSE,,50,0,50,82.8,78.65,-207.5,CNC,0,
ONGC,NSE,,100,0,100,88,103.95,1595,CNC,0,
PNCINFRA,BSE,,8,0,8,258,255.95,-16.4,CNC,0,
REDINGTON,BSE,,6,0,6,132.4,178.65,277.5,CNC,0,
RELIANCE,BSE,,10,0,10,1914.58,1983.65,690.75,CNC,0,
SAIL,NSE,,300,0,300,76,91.05,4515,CNC,0,
SGBFEB29XI,NSE,,5,0,5,4862,4766.33,-478.35,CNC,0,
SGBMR29XII,NSE,,5,0,5,4612,4602.44,-47.8,CNC,0,
SOBHA,NSE,,2,0,2,329.45,496.55,334.2,CNC,0,
SPIC,NSE,,75,0,75,47,30.5,-1237.5,CNC,0,
SUNTV,NSE,,2,0,2,476.45,477.75,2.6,CNC,0,
TATAMETALI,NSE,,1,0,1,565.95,851.15,285.2,CNC,0,
TRIVENI,BSE,,50,0,50,85.85,83.5,-117.5,CNC,0,
WELCORP,BSE,,6,0,6,128.4,143.25,89.1,CNC,0,
WSTCSTPAPR,BSE,,4,0,4,184.8,233.2,193.6,CNC,0,
ZENTEC,BSE,,60,0,60,100.81,78.4,-1344.5,CNC,0,
